Timestamp;ENCUESTADOR ;;Datos DemogrÃ¡ficos (Seleccione mÃºltiples);Â¿A quÃ© partido pertenece o tiene afinidad?;Latitud;Longitud;Barrio o CompaÃ±Ã­a;CalificaciÃ³n: GestiÃ³n del Intendente Municipal;CalificaciÃ³n: GestiÃ³n del Presidente de la RepÃºblica;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;Â¿QuÃ© servicio pÃºblico debe mejorar la municipalidad?
2026-04-11T00:16:14.531Z;;;Varón,Joven;Partido Colorado;-268.874.887;-570.226.614;San Roque ;;;Jose Mutti;gabriel;agua 
2026-04-11T18:25:09.115Z;;;Varón;Partido Colorado;-268.898.279;-568.514.267;;Excelente;Excelente;Ninguno;N;
2026-04-11T19:07:50.460Z;;;Varón,Mayor;Partido Colorado;-2.737.766.249.763.760;-5.684.367.496.268.450;Sirena ;Mala;Muy Mala;;Ninguno ;Camino 
2026-04-11T19:04:35.615Z;;;Varón,Mayor;Partido Colorado;-27.377.965.885.404.500;-5.684.390.526.574.190;Sirena ;Mala;Muy Mala;Jose Mutti;Ninguno ;RecolecciÃ³n de basura 
2026-04-11T19:11:08.858Z;;;Mayor;Partido Colorado;-273.782.013;-568.463.381;Sirena;Mala;Mala;Jose Mutti;Ninguna ;Fuente de trabajo y pago de sueldo
2026-04-11T19:06:08.351Z;;;Varón,Mayor;Partido Colorado;-273.782.386;-568.445.082;Sirena;Mala;Muy Mala;Jose Mutti;WILLIAN RODRIGUEZ;Agua
2026-04-11T19:06:03.058Z;;;Mujer,Joven;Partido Colorado;-273.782.805;-568.463.112;Sieena;Buena;Mala;Jose Mutti;Elias Leguizamon;Los caminos 
2026-04-11T19:00:26.239Z;;;Mujer,Mayor;Partido Colorado;-273.782.882;-568.446.613;Sirena;Buena;Buena;Jose Mutti;Elias Leguizamon;Agua
2026-04-11T19:08:58.137Z;;;Varón,Mayor;Partido Colorado;-273.783.646;-568.462.043;Sirena;NS/NR;NS/NR;;Ninguna ;Baches agua 
2026-04-11T19:03:34.132Z;;;Mujer,Mayor;Partido Colorado;-273.784.295;-568.446.692;Sirena;Muy Mala;Muy Mala;Jose Mutti;William Aquino ;Caminos vecinales 
2026-04-11T18:55:51.351Z;;;Mujer,Mayor;Partido Colorado;-27.378.802.507.236.600;-5.684.411.005.941.500;Sirena ;Mala;Muy Mala;;Ninguno ;Camino 
2026-04-11T18:57:47.762Z;;;Varón,Mayor;Partido Colorado;-27.378.863.874.493.400;-56.844.139.878.204.900;Sirena ;Mala;Muy Mala;;Ninguno ;Camino 
2026-04-11T18:55:36.521Z;;;Mujer,Joven;Partido Colorado;-27.378.869;-56.844.919;Sirena;Mala;Buena;Jose Mutti;;Trabajo
2026-04-11T18:56:44.425Z;;;Mujer,Joven;Partido Colorado;-273.788.806;-568.462.985;Sirena;Buena;Buena;Jose Mutti;Shirley Dioff;Apoya a emprendedores
2026-04-11T18:53:12.377Z;;;Mujer,Joven;Partido Colorado;-2.737.903.236.459.580;-5.684.419.006.472.270;Sirena ;Mala;Muy Mala;Christian Rolon;Edgardo Villalba ;RecolecciÃ³n de basura 
2026-04-11T18:52:07.454Z;;;Varón,Adulto Mayor;Partido Colorado;-273.792.029;-568.451.088;Sirena ;Mala;Buena;Jose Mutti;CACERES;Fuente trabajo 
