Timestamp;Datos Demográficos (Seleccione múltiples);¿A qué partido pertenece o tiene afinidad?;Ubicación de la Encuesta;Barrio o Compañía;Calificación: Gestión del Intendente Municipal;Calificación: Gestión del Presidente de la República;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;¿Qué servicio público debe mejorar la municipalidad?
2026-04-11T15:10:33.866Z;Mujer, Mayor;Partido Colorado;-27.3948948,-56.8665892;Lima;Buena;Mala;Christian Rolon;William Aquino;Fomentar más turismo
2026-04-11T15:12:12.132Z;;Partido Colorado;-27.3962912,-56.8513129;;Mala;Mala;Jose Mutti;;Todo
2026-04-11T15:14:44.430Z;Mujer, Joven;Partido Colorado;-27.3951142,-56.8664756;Lima;Buena;Buena;Christian Rolon;Miguel Marin;Agua
2026-04-11T15:15:03.638Z;;Partido Colorado;-27.3966274,-56.8515902;;Muy Mala;Mala;Jose Mutti;Sofi;Agua potable
2026-04-11T15:16:39.950Z;Mujer, Mayor;Partido Colorado;-27.396599041019574,-56.85177830595699;San Antonio;Buena;Mala;;Ninguno;Camino
2026-04-11T15:19:08.236Z;Mujer, Mayor;Partido Colorado;-27.3952892,-56.8660949;Lima;Buena;Buena;Christian Rolon;Nadie;La iluminación en las calles principales
2026-04-11T15:19:40.541Z;;Partido Colorado;-27.3975815,-56.8528334;;Muy Mala;Buena;Jose Mutti;Carlos ramires;Recolección de basura
2026-04-11T15:19:50.996Z;Varón, Mayor;Partido Colorado;-27.39689441339282,-56.85211753252889;San Antonio;Mala;Muy Mala;;Ninguna;Camino
2026-04-11T15:22:36.066Z;;Partido Colorado;-27.3977329,-56.8531208;San Antonio;NS/NR;Mala;;;
2026-04-11T15:22:48.340Z;Varón, Mayor;Partido Colorado;-27.3959984,-56.8664409;Lima;Mala;;;Ninguna;Falta de agua, recolección de basura
2026-04-11T15:25:54.248Z;Mujer, Varón, Mayor;Partido Colorado;-27.3962888,-56.8665684;Lima;Buena;Mala;Christian Rolon;Ninguno;Ningúno
2026-04-11T15:26:14.526Z;;Partido Colorado;-27.3978992,-56.8533795;San Antonio;Muy Mala;Muy Mala;Jose Mutti;;Colectivos
2026-04-11T15:27:51.535Z;Varón, Mayor;Partido Colorado;-27.39796854051086,-56.85377696685532;San Antonio;Mala;Muy Mala;;Ninguno;Camino
2026-04-11T15:29:44.279Z;;Partido Colorado;-27.3981559,-56.8539106;San Antonio;Muy Mala;Muy Mala;;;
2026-04-11T15:36:06.702Z;;Partido Colorado;-27.3965354,-56.8653108;Lima;Buena;Muy Mala;Christian Rolon;Ninguno;Control de transporte y concienciacion vial
2026-04-11T14:18:43.238Z;Mujer, Joven;Partido Colorado;-27.40400621051414,-56.86183459636993;San José mi;Muy Mala;Muy Mala;;Ninguno;Camino
