Timestamp;Datos Demográficos (Seleccione múltiples);¿A qué partido pertenece o tiene afinidad?;Ubicación de la Encuesta;Barrio o Compañía;Calificación: Gestión del Intendente Municipal;Calificación: Gestión del Presidente de la República;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;¿Qué servicio público debe mejorar la municipalidad?
2026-04-11T15:10:33.866Z;Mujer, Mayor;Partido Colorado;-27.394895,-56.866589;Lima;Buena;Mala;Christian Rolon;William Aquino;Fomentar más turismo
2026-04-11T15:12:12.132Z;;Partido Colorado;-27.396291,-56.851313;;Mala;Mala;Jose Mutti;;Todo
2026-04-11T15:14:44.430Z;Mujer, Joven;Partido Colorado;-27.395114,-56.866476;Lima;Buena;Buena;Christian Rolon;Miguel Marin;Agua
2026-04-11T15:15:03.638Z;;Partido Colorado;-27.396627,-56.85159;;Muy Mala;Mala;Jose Mutti;Sofi;Agua potable
2026-04-11T15:16:39.950Z;Mujer, Mayor;Partido Colorado;-27.396599,-56.851778;San Antonio;Buena;Mala;;Ninguno;Camino
2026-04-11T15:19:08.236Z;Mujer, Mayor;Partido Colorado;-27.395289,-56.866095;Lima;Buena;Buena;Christian Rolon;Nadie;La iluminación en las calles principales
2026-04-11T15:19:40.541Z;;Partido Colorado;-27.397582,-56.852833;;Muy Mala;Buena;Jose Mutti;Carlos ramires;Recolección de basura
2026-04-11T15:19:50.996Z;Varón, Mayor;Partido Colorado;-27.396894,-56.852118;San Antonio;Mala;Muy Mala;;Ninguna;Camino
2026-04-11T15:22:36.066Z;;Partido Colorado;-27.397733,-56.853121;San Antonio;NS/NR;Mala;;;
2026-04-11T15:22:48.340Z;Varón, Mayor;Partido Colorado;-27.395998,-56.866441;Lima;Mala;;;Ninguna;Falta de agua, recolección de basura
2026-04-11T15:25:54.248Z;Mujer, Varón, Mayor;Partido Colorado;-27.396289,-56.866568;Lima;Buena;Mala;Christian Rolon;Ninguno;Ningúno
2026-04-11T15:26:14.526Z;;Partido Colorado;-27.397899,-56.85338;San Antonio;Muy Mala;Muy Mala;Jose Mutti;;Colectivos
2026-04-11T15:27:51.535Z;Varón, Mayor;Partido Colorado;-27.397969,-56.853777;San Antonio;Mala;Muy Mala;;Ninguno;Camino
2026-04-11T15:29:44.279Z;;Partido Colorado;-27.398156,-56.853911;San Antonio;Muy Mala;Muy Mala;;;
