Fecha;Encuestador;Latitud;Longitud;Barrio;Partido;Fuente
2026-04-11T00:16:14.531Z;;-26.887489;-57.022661;San Roque ;Partido Colorado;11 y santiago.csv
2026-04-11T18:25:09.115Z;;-26.889828;-56.851427;;Partido Colorado;11 y santiago.csv
2026-04-11T19:07:50.460Z;;-27.377662;-56.843675;Sirena ;Partido Colorado;11 y santiago.csv
2026-04-11T19:04:35.615Z;;-27.377966;-56.843905;Sirena ;Partido Colorado;11 y santiago.csv
2026-04-11T19:11:08.858Z;;-27.378201;-56.846338;Sirena;Partido Colorado;11 y santiago.csv
2026-04-11T19:06:08.351Z;;-27.378239;-56.844508;Sirena;Partido Colorado;11 y santiago.csv
2026-04-11T19:06:03.058Z;;-27.37828;-56.846311;Sieena;Partido Colorado;11 y santiago.csv
2026-04-11T19:00:26.239Z;;-27.378288;-56.844661;Sirena;Partido Colorado;11 y santiago.csv
2026-04-11T19:08:58.137Z;;-27.378365;-56.846204;Sirena;Partido Colorado;11 y santiago.csv
2026-04-11T19:03:34.132Z;;-27.378429;-56.844669;Sirena;Partido Colorado;11 y santiago.csv
2026-04-11T18:55:51.351Z;;-27.378803;-56.84411;Sirena ;Partido Colorado;11 y santiago.csv
2026-04-11T18:57:47.762Z;;-27.378864;-56.84414;Sirena ;Partido Colorado;11 y santiago.csv
2026-04-11T18:55:36.521Z;;-27.378869;-56.844919;Sirena;Partido Colorado;11 y santiago.csv
2026-04-11T18:56:44.425Z;;-27.378881;-56.846299;Sirena;Partido Colorado;11 y santiago.csv
2026-04-11T18:53:12.377Z;;-27.379032;-56.84419;Sirena ;Partido Colorado;11 y santiago.csv
2026-04-11T18:52:07.454Z;;-27.379203;-56.845109;Sirena ;Partido Colorado;11 y santiago.csv
2026-04-11T19:00:27.312Z;;-27.379249;-56.846837;Sirena;Partido Colorado;11 y santiago.csv
2026-04-11T18:52:27.124Z;;-27.379629;-56.843838;Sirena;Partido Colorado;11 y santiago.csv
2026-04-11T18:55:53.377Z;;-27.379658;-56.843205;Sirena;Partido Colorado;11 y santiago.csv
2026-04-11T18:59:25.876Z;;-27.37975;-56.84205;;Partido Colorado;11 y santiago.csv
2026-04-13T15:39:02.717Z;Santiago;-27.381721;-56.840643;Núcleo 5;Partido Colorado;11 y santiago.csv
2026-04-13T15:34:10.614Z;Santiago;-27.381797;-56.840143;Núcleo 5;Partido Colorado;11 y santiago.csv
2026-04-13T15:28:41.722Z;Santiago;-27.381852;-56.838964;Núcleo 5;Partido Colorado;11 y santiago.csv
2026-04-13T15:44:04.357Z;Santiago;-27.382103;-56.842212;Núcleo 5;Partido Colorado;11 y santiago.csv
2026-04-13T11:35:15.366Z;Santiago;-27.382141;-56.844554;;Partido Colorado;11 y santiago.csv
2026-04-13T14:52:47.343Z;Santiago;-27.382581;-56.841653;Núcleo 5;Partido Colorado;11 y santiago.csv
2026-04-13T15:17:53.334Z;Santiago;-27.382618;-56.838634;Núcleo 5;Partido Colorado;11 y santiago.csv
2026-04-13T15:15:14.979Z;Santiago;-27.382682;-56.839174;Núcleo 5;Partido Colorado;11 y santiago.csv
2026-04-13T14:47:06.068Z;Santiago;-27.382702;-56.842232;Núcleo 5;Partido Colorado;11 y santiago.csv
2026-04-13T15:19:57.596Z;Santiago;-27.382764;-56.838404;;Partido Colorado;11 y santiago.csv
2026-04-13T15:00:39.645Z;Santiago;-27.382768;-56.840904;Núcleo 5;Partido Colorado;11 y santiago.csv
2026-04-13T15:07:34.998Z;Santiago;-27.382799;-56.839985;Núcleo 5;Partido Colorado;11 y santiago.csv
2026-04-13T11:48:18.590Z;Santiago;-27.383328;-56.845792;Lote 4 ;Partido Colorado;11 y santiago.csv
2026-04-13T12:02:52.060Z;Santiago;-27.38355;-56.844372;Núcleo 1;Partido Colorado;11 y santiago.csv
2026-04-13T13:05:51.526Z;Santiago;-27.383811;-56.84798;Núcleo 2;Partido Colorado;11 y santiago.csv
2026-04-13T13:01:03.409Z;Santiago;-27.384136;-56.8485;Núcleo 2;;11 y santiago.csv
2026-04-13T12:40:12.149Z;Santiago;-27.384168;-56.846964;Núcleo 2;;11 y santiago.csv
2026-04-13T12:13:53.574Z;Santiago;-27.384333;-56.844637;Núcleo 1;Partido Colorado;11 y santiago.csv
2026-04-13T12:35:44.527Z;Santiago;-27.384497;-56.847212;;Partido Colorado;11 y santiago.csv
2026-04-13T12:54:10.454Z;Santiago;-27.384874;-56.848345;Núcleo 2;Partido Colorado;11 y santiago.csv
2026-04-13T12:32:31.134Z;Santiago;-27.385123;-56.847751;Núcleo 2;Partido Colorado;11 y santiago.csv
2026-04-13T13:32:28.428Z;Santiago;-27.385571;-56.850152;Núcleo 4;Partido Colorado;11 y santiago.csv
2026-04-13T13:29:29.433Z;Santiago;-27.385775;-56.850393;Núcleo 4;Partido Colorado;11 y santiago.csv
2026-04-13T14:11:10.597Z;Santiago;-27.385881;-56.844742;Núcleo 3;Partido Colorado;11 y santiago.csv
2026-04-13T14:17:51.687Z;Santiago;-27.385902;-56.845591;Núcleo 3;Partido Colorado;11 y santiago.csv
2026-04-13T13:20:50.873Z;Santiago;-27.386236;-56.850761;Núcleo 3;Partido Colorado;11 y santiago.csv
2026-04-13T13:20:00.226Z;Santiago;-27.386269;-56.850692;Núcleo 3;Partido Colorado;11 y santiago.csv
2026-04-13T14:25:48.881Z;Santiago;-27.386276;-56.845575;Núcleo 3;Partido Colorado;11 y santiago.csv
2026-04-13T14:04:18.037Z;Santiago;-27.386287;-56.844745;Núcleo 3;Partido Colorado;11 y santiago.csv
2026-04-13T13:49:41.122Z;Santiago;-27.386359;-56.847774;Núcleo 4;Partido Colorado;11 y santiago.csv
2026-04-13T14:32:15.005Z;Santiago;-27.386672;-56.846355;Núcleo 3;Partido Colorado;11 y santiago.csv
2026-04-11T18:00:43.036Z;;-27.387112;-56.864314;Yataity;Partido Colorado;11 y santiago.csv
2026-04-11T18:08:24.625Z;;-27.387118;-56.863616;Yataity;Partido Colorado;11 y santiago.csv
2026-04-11T18:14:42.287Z;;-27.387207;-56.862586;Yataity;Partido Colorado;11 y santiago.csv
2026-04-11T18:29:54.775Z;;-27.387207;-56.863945;Yat;Partido Colorado;11 y santiago.csv
2026-04-11T18:32:08.950Z;;-27.387231;-56.861208;Yataity;Partido Colorado;11 y santiago.csv
