Timestamp;Datos Demográficos (Seleccione múltiples);¿A qué partido pertenece o tiene afinidad?;Latitud;Longitud;Barrio o Compañía;Calificación: Gestión del Intendente Municipal;Calificación: Gestión del Presidente de la República;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;¿Qué servicio público debe mejorar la municipalidad?
2026-04-11T00:16:14.531Z;Varón,Joven;Partido Colorado;-26.8874887;-57.0226614;San Roque ;;;Jose Mutti;gabriel;agua 
2026-04-11T14:18:43.238Z;Mujer,Joven;Partido Colorado;-27.40400621051414;-56.86183459636993;San José Mí;Muy Mala;Muy Mala;;Ninguno ;Camino 
2026-04-11T14:19:20.410Z;Mujer,Mayor;Partido Colorado;-27.3904993;-56.8423842;San antonio;Muy Mala;Muy Mala;Jose Mutti;Diosnel Bogado;Recoleccion de Basura
2026-04-11T14:20:12.294Z;;Partido Colorado;-27.4041435;-56.8612866;San jose mi;Buena;Buena;Christian Rolon;Sofi ;Agua potable 
2026-04-11T14:21:45.836Z;Varón,Mayor;Partido Colorado;-27.404113553399807;-56.86174092751455;San José Mí;Mala;Buena;Jose Mutti;Ninguno ;Camino 
2026-04-11T14:22:48.866Z;;Partido Colorado;-27.4047385;-56.8611391;San jose mi;Buena;Muy Mala;Christian Rolon;Wilian;En todo
2026-04-11T14:23:07.323Z;Varón,Mayor;Partido Colorado;-27.390747;-56.8430486;San Antonio ;Mala;Muy Mala;Jose Mutti;Ns nr;Todo 
2026-04-11T14:25:04.272Z;Mujer,Mayor;Partido Colorado;-27.404217857368813;-56.86188800173899;San José mi ;Mala;Muy Mala;;Ninguno ;Camino 
2026-04-11T14:28:14.827Z;Mujer,Adulto Mayor;Partido Colorado;-27.3919498;-56.8446045;San Antonio ;Mala;Mala;;Ns nr ;Agua 
2026-04-11T14:29:48.750Z;Varón,Mayor;Partido Colorado;-27.4049176232877;-56.86186357629915;San José mi ;Buena;Muy Mala;Jose Mutti;Ninguno ;Agua 
2026-04-11T14:32:27.597Z;Varón,Mayor;Partido Colorado;-27.405185654226056;-56.861894874299615;San José Mi ;Muy Mala;Muy Mala;Jose Mutti;Diego Barreto ;Camino 
2026-04-11T14:32:41.979Z;;Partido Colorado;-27.4058291;-56.8609211;San José Mí;Buena;Mala;Jose Mutti;;Limpieza publica
2026-04-11T14:34:12.116Z;Varón,Mayor;Partido Colorado;-27.39267;-56.8458755;San Antonio ;Mala;Muy Mala;Jose Mutti;Diosnel bogado;Documentos públicos 
2026-04-11T14:36:19.021Z;Varón,Joven;Partido Colorado;-27.3916144;-56.844004;San Antonio ;Buena;Muy Mala;Christian Rolon;Willian Aquino;
2026-04-11T14:36:43.860Z;;Partido Colorado;-27.4063574;-56.8620412;San José Mí;Mala;Muy Mala;Jose Mutti;;Recolección de basura 
2026-04-11T14:37:18.667Z;Mujer,Mayor;Partido Colorado;-27.405782610341642;-56.86209535778314;San José Mí;Muy Mala;Muy Mala;Jose Mutti;Ninguno ;Agua 
2026-04-11T14:39:38.883Z;;Partido Colorado;-27.4061627;-56.8618655;San jose mi;Buena;Buena;Christian Rolon;Wilfrido;Agua potable 
2026-04-11T14:39:56.724Z;;Partido Colorado;-27.3930998;-56.8464676;San Antonio ;Mala;Mala;;Ns nr;Todo 
2026-04-11T14:43:52.396Z;Joven;Partido Colorado;-27.3936951;-56.8676326;Lima;Mala;Muy Mala;;Ninguna ;Las vías publicas
2026-04-11T14:44:00.924Z;Varón,Mayor;Partido Colorado;-27.3919687;-56.8446741;San antonio;Buena;Buena;Jose Mutti;Willian Aquino;
2026-04-11T14:44:22.181Z;;Partido Colorado;-27.4061315;-56.8624329;San jose mi ;Buena;Buena;Jose Mutti;;Alimentos escolares
2026-04-11T14:45:34.338Z;;Partido Colorado;-27.4057909;-56.8634476;;Mala;Muy Mala;Jose Mutti;;Rutas
2026-04-11T14:48:24.392Z;Mujer,Mayor;Partido Colorado;-27.3933541;-56.8678831;Lima;Mala;Buena;Christian Rolon;David Vega;Hermosear  y trabajo
2026-04-11T14:48:29.234Z;;Partido Colorado;-27.4055954;-56.863396;San jose mi;Mala;Muy Mala;;Talavera;Todo
2026-04-11T14:48:57.658Z;Varón,Mayor;Partido Colorado;-27.3934285;-56.8470077;San Antonio ;Buena;Buena;Christian Rolon;Jose Carozo;Todo 
2026-04-11T14:51:31.216Z;Varón,Mayor;Partido Colorado;-27.3934415;-56.8675465;Lima;Excelente;Excelente;Christian Rolon;Dennis cardozo;Arreglo de vías públicas y limpieza 
2026-04-11T14:56:35.208Z;Varón,Mayor;Partido Colorado;-27.3939475;-56.8672883;Lima;NS/NR;Buena;Jose Mutti;Ninguno;En todo 
2026-04-11T14:59:30.375Z;Varón,Mayor;Partido Colorado;-27.3942637;-56.8673673;Lima;Excelente;Buena;Christian Rolon;Ninguno;En todo
2026-04-11T15:03:03.451Z;Mujer,Mayor;Partido Colorado;-27.3932908;-56.8469262;San antonio;Buena;Mala;Christian Rolon;Willian Aquino ;Basura
2026-04-11T15:08:32.046Z;Varón,Joven;Partido Colorado;-27.3947566;-56.8494005;San antonio ;Buena;Buena;Jose Mutti;Alvarenga;Todo
2026-04-11T15:10:33.866Z;Mujer,Mayor;Partido Colorado;-27.3948948;-56.8665892;Lima;Buena;Mala;Christian Rolon;William Aquino ;Fomentar más turismo 
2026-04-11T15:12:12.132Z;;Partido Colorado;-27.3962912;-56.8513129;San Antonio ;Mala;Mala;Jose Mutti;;Todo
2026-04-11T15:14:44.430Z;Mujer,Joven;Partido Colorado;-27.3951142;-56.8664756;Lima;Buena;Buena;Christian Rolon;Miguel Marin;Agua 
2026-04-11T15:15:03.638Z;;Partido Colorado;-27.3966274;-56.8515902;San Antonio ;Muy Mala;Mala;Jose Mutti;Sofi;Agua potable 
2026-04-11T15:16:39.950Z;Mujer,Mayor;Partido Colorado;-27.396599041019574;-56.85177830595699;San Antonio ;Buena;Mala;;Ninguno ;Camino 
2026-04-11T15:19:08.236Z;Mujer,Mayor;Partido Colorado;-27.3952892;-56.8660949;Lima;Buena;Buena;Christian Rolon;Nadie;La iluminación en las calles principales 
2026-04-11T15:19:40.541Z;;Partido Colorado;-27.3975815;-56.8528334;San Antonio ;Muy Mala;Buena;Jose Mutti;Carlos ramires ;Recolección de basura 
2026-04-11T15:19:50.996Z;Varón,Mayor;Partido Colorado;-27.39689441339282;-56.85211753252889;San Antonio ;Mala;Muy Mala;;Ninguna ;Camino 
2026-04-11T15:22:36.066Z;;Partido Colorado;-27.3977329;-56.8531208;San Antonio ;NS/NR;Mala;;;
2026-04-11T15:22:48.340Z;Varón,Mayor;Partido Colorado;-27.3959984;-56.8664409;Lima;Mala;;;Ninguna ;Falta de agua, recolección de basura 
2026-04-11T15:25:54.248Z;Mujer,Varón,Mayor;Partido Colorado;-27.3962888;-56.8665684;Lima;Buena;Mala;Christian Rolon;Ninguno;Ningúno 
2026-04-11T15:26:14.526Z;;Partido Colorado;-27.3978992;-56.8533795;San Antonio ;Muy Mala;Muy Mala;Jose Mutti;;Colectivos
2026-04-11T15:27:51.535Z;Varón,Mayor;Partido Colorado;-27.39796854051086;-56.85377696685532;San Antonio ;Mala;Muy Mala;;Ninguno ;Camino 
2026-04-11T15:29:44.279Z;;Partido Colorado;-27.3981559;-56.8539106;San Antonio ;Muy Mala;Muy Mala;;;
2026-04-11T15:36:06.702Z;;Partido Colorado;-27.3965354;-56.8653108;Lima;Buena;Muy Mala;Christian Rolon;Ninguno;Control de transporte y concienciacion vial
2026-04-11T16:54:49.913Z;Mujer,Joven;Partido Colorado;-27.3990914;-56.8595559;Lima;Mala;Muy Mala;Christian Rolon;Eladio Martinez ;Limpieza recolección 
2026-04-11T16:55:09.728Z;Mujer,Mayor;Partido Colorado;-27.39858457811447;-56.85851209924371;Lima ;Mala;Muy Mala;Christian Rolon;Denis flores ;Agua 
2026-04-11T16:57:37.441Z;;Partido Colorado;-27.3978942;-56.8600982;Lima;Mala;Muy Mala;Christian Rolon;Gricelda ;Agua potable 
2026-04-11T16:58:12.181Z;Mujer,Mayor;Partido Colorado;-27.39823762862592;-56.859225926674675;Lima ;Mala;Muy Mala;Jose Mutti;Ninguno ;Agua 
2026-04-11T16:59:08.766Z;Varón,Mayor;Partido Colorado;-27.3984567;-56.8614946;Lima;Buena;Buena;Christian Rolon;William Aquino;Agua
2026-04-11T16:59:47.886Z;Mujer,Joven;Partido Colorado;-27.3988456;-56.8596324;Lima;NS/NR;Buena;Jose Mutti;Ninguno ;Muchísimas cosas
2026-04-11T17:02:57.966Z;;Partido Colorado;-27.3977349;-56.8606901;Lima;Buena;Muy Mala;;;Limpieza 
2026-04-11T17:03:15.839Z;Varón,Joven;Partido Colorado;-27.3982005;-56.862759;Lima;Buena;Buena;Christian Rolon;Arnaldo Cardozo;Recoleccion de basura
2026-04-11T17:05:08.715Z;;Partido Colorado;-27.3976451;-56.8607866;Lima;Mala;Buena;;;Mejorar turismo 
2026-04-11T17:06:07.373Z;Mujer;Partido Colorado;-27.3986149;-56.8607505;Lima;Mala;Mala;Jose Mutti;Luis Cuellar ;Limpieza basura
2026-04-11T17:06:26.228Z;Mujer,Mayor;Partido Colorado;-27.397887936730477;-56.86041627181986;Lima ;Mala;Mala;;Ninguno ;Agua 
2026-04-11T17:06:33.781Z;Mujer,Mayor;Partido Colorado;-27.3917553;-56.8656057;Virgen del pilar ;Buena;Excelente;Christian Rolon;;Trabajos 
2026-04-11T17:06:34.425Z;Mujer,Mayor;Partido Colorado;-27.397781;-56.8634922;Lima;Muy Mala;Buena;Christian Rolon;Mario Cañete;Trabajo 
2026-04-11T17:08:49.555Z;;Partido Colorado;-27.397419;-56.8615888;Lima;Muy Mala;Muy Mala;Jose Mutti;Ramón palacios ;Agua potable 
2026-04-11T17:11:34.860Z;;Partido Colorado;-27.3972364;-56.8620884;Lima;Muy Mala;Muy Mala;Jose Mutti;Carlos ramirez ;Agua potable 
2026-04-11T17:12:37.063Z;Mujer,Joven;Partido Colorado;-27.3977020859371;-56.86112303570069;Lima ;Muy Mala;Muy Mala;Jose Mutti;Ninguno ;Camino 
2026-04-11T17:12:54.628Z;Mujer,Joven;Partido Colorado;-27.3982534;-56.8616254;Lima;Buena;Buena;;Ninguna ;Nada
2026-04-11T17:14:21.971Z;Mujer,Mayor;Partido Colorado;-27.3919127;-56.8628758;Virgen del pilar ;Buena;Buena;Jose Mutti;;Agua 
2026-04-11T17:16:30.676Z;Varón,Mayor;Partido Colorado;-27.3975753;-56.863541;Lima;Mala;Mala;Christian Rolon;Cañete;Recoleccion
2026-04-11T17:16:46.112Z;Mujer,Mayor;Partido Colorado;-27.3917757;-56.8626054;Virgen del pilar ;NS/NR;Buena;;Ns nr;Agua, electricidad 
2026-04-11T17:19:16.350Z;;Partido Colorado;-27.3965086;-56.8640884;Lima;Mala;Mala;;;Agua potable 
2026-04-11T17:19:38.407Z;Varón,Joven;Partido Colorado;-27.396816630045;-56.86358913938975;Lima ;Buena;Buena;;Ninguno ;Camino 
2026-04-11T17:22:08.477Z;Mujer,Joven;Partido Colorado;-27.3973472;-56.864286;Lima;Buena;Mala;Christian Rolon;William Aquino;Agua
2026-04-11T17:22:19.484Z;Joven,Varón;Partido Colorado;-27.3983346;-56.8625306;Lima ;Mala;Mala;Jose Mutti;Alejandro Sanchez;Basura 
2026-04-11T17:22:51.458Z;Varón,Joven;Partido Colorado;-27.396980137739142;-56.86368480645706;Lima ;Mala;Muy Mala;Jose Mutti;Ninguno ;Camino 
2026-04-11T17:24:05.911Z;;Partido Colorado;-27.3960229;-56.8644662;Lima;Buena;;Jose Mutti;;Veredas
2026-04-11T17:26:52.571Z;Varón,Mayor;Partido Colorado;-27.396504081419177;-56.864202084256796;Lima ;Muy Mala;Muy Mala;Jose Mutti;Ninguno ;Agua 
2026-04-11T17:28:54.615Z;;Partido Colorado;-27.3952901;-56.8650852;Lima;Muy Mala;Buena;;;Agua potable 
2026-04-11T17:30:16.365Z;;Partido Colorado;-27.3952445;-56.8651516;Lima;NS/NR;NS/NR;;;Todo
2026-04-11T17:30:28.254Z;Mujer;Partido Colorado;-27.3977724;-56.8634593;Lima;;;Jose Mutti;Benitez;
2026-04-11T17:34:37.110Z;;Partido Colorado;-27.3948673;-56.8654411;Lima;Mala;Muy Mala;;;Todo
2026-04-11T17:35:55.370Z;Varón,Joven;Partido Colorado;-27.39552055538877;-56.864922028698984;Lima ;Mala;Muy Mala;Jose Mutti;Elias leguizamon ;Camino 
2026-04-11T17:36:06.641Z;Varón,Adulto Mayor;Partido Colorado;-27.388738;-56.8659997;Virgen del pilar ;Buena;Buena;Christian Rolon;;Todo
2026-04-11T17:37:30.594Z;Varón,Mayor;Partido Colorado;-27.395663118844002;-56.86483758834036;Lima ;Muy Mala;Muy Mala;Jose Mutti;Ninguno ;Agua
2026-04-11T17:39:29.558Z;Mujer,Mayor;Partido Colorado;-27.3887687;-56.8662449;Virgen del pilar ;Muy Mala;Muy Mala;Jose Mutti;Marin ;Agua 
2026-04-11T17:43:56.205Z;Varón,Mayor;Partido Colorado;-27.387793;-56.8650059;Virgen del pilar ;Buena;Buena;Jose Mutti;Arnildo bernal ;
2026-04-11T17:47:56.559Z;Mujer,Mayor;Partido Colorado;-27.3877992;-56.8649857;Yataity;Buena;Buena;Christian Rolon;Carlos Marin ;Agua
2026-04-11T17:49:04.745Z;Mujer,Joven;Partido Colorado;-27.3881164;-56.8651588;Yataity;NS/NR;Mala;Jose Mutti;Mario Cañete;Humo
2026-04-11T17:51:19.579Z;Varón,Mayor;Partido Colorado;-27.3874323;-56.8650945;Yataity;Buena;Buena;Jose Mutti;Miguel Amarilla;Agua
2026-04-11T17:56:28.330Z;Mujer;Partido Colorado;-27.3918615;-56.8580118;Santa Ana;Buena;Muy Mala;Christian Rolon;Wlian;Mas trabajo 
2026-04-11T17:57:47.177Z;Mujer,Mayor;Partido Colorado;-27.39163711148714;-56.85780685896884;Santa Ana ;Buena;Buena;Christian Rolon;Cecilio Arias ;Camino 
2026-04-11T17:59:53.224Z;Mujer;Partido Colorado;-27.3919375;-56.8576872;Santa ana 100;;Mala;Jose Mutti;;Limpieza de basura 
2026-04-11T18:00:37.311Z;Mujer,Mayor;Partido Colorado;-27.39143621146509;-56.858045633572324;Santa Ana ;Mala;Muy Mala;Christian Rolon;Ninguno ;Recolección de basura 
2026-04-11T18:00:43.036Z;Varón,Adulto Mayor;Partido Colorado;-27.3871118;-56.8643145;Yataity;Mala;Mala;Jose Mutti;Wilfrido Jacquet ;Agua
