ID_Original;Fecha_Hora;Encuestador;Latitud;Longitud;q1;q3;q4;q5;q6;q7;q8;q_demo
661;2026-04-13T11:26:54.786Z;Mabel;-27.3820328;-56.8450381;Partido Colorado;Núcleo 1;Buena;Mala;Jose Mutti;Carlos Hijo de la profe Celeste ;Recolección de basura ;Mujer, Mayor
662;2026-04-13T11:27:48.584Z;Miguel;-27.3825148;-56.846116;Partido Colorado;Núcleo 1;Buena;Buena;;;Todo;Mayor
663;2026-04-13T11:35:15.366Z;Santiago;-27.3821407;-56.8445543;Partido Colorado;;Buena;Mala;;Hugiyo ramirez ;Agua y luz ;Mujer, Mayor
664;2026-04-13T11:39:56.294Z;Mabel;-27.3821171;-56.8462229;Partido Colorado;Núcleo 1;Buena;Mala;Jose Mutti;Sofia Troche;Agua, recolección de basura a tiempo;Mujer, Mayor
665;2026-04-13T11:48:18.590Z;Santiago;-27.383328;-56.8457922;Partido Colorado;Lote 4 ;Muy Mala;Muy Mala;;;Todo ;Mujer, Joven
666;2026-04-13T11:51:41.130Z;Miguel;-27.3841042;-56.846003;Partido Colorado;Núcleo 1;Buena;Muy Mala;Christian Rolon;;Recolección de basura ;Mayor
667;2026-04-13T11:53:23.659Z;Santiago;;;;;Muy Mala;Buena;;;Salud;
668;2026-04-13T11:56:06.274Z;Miguel;-27.3842241;-56.846738;Partido Colorado;Núcleo 1;;Muy Mala;;Arnildo ;Todo;
669;2026-04-13T11:57:07.924Z;Santiago;;;;;Buena;Mala;;;Trabajos, limpieza ;
670;2026-04-13T11:58:20.577Z;Miguel;-27.3845305;-56.8467018;Partido Colorado;Núcleo 1;NS/NR;NS/NR;;;Rutas ;Mujer
671;2026-04-13T12:01:59.560Z;Miguel;-27.3846501;-56.8458061;Partido Colorado;Núcleo 1;Mala;Muy Mala;Jose Mutti;Wilian;Las rutas ;Joven, Mujer
672;2026-04-13T12:02:52.060Z;Santiago;-27.3835497;-56.8443725;Partido Colorado;Núcleo 1;Buena;Buena;Jose Mutti;William Aquino;Todo ;Mujer, Mayor
673;2026-04-13T12:03:05.133Z;Mabel;;;Partido Colorado;Núcleo 1;Buena;Buena;Jose Mutti;Edgardo villalba;Pague a tiempo;Varón, Mayor
674;2026-04-13T12:03:46.950Z;Miguel;-27.384654;-56.8457356;Partido Colorado;Núcleo 1;Mala;Mala;Jose Mutti;Wilian ;Todo;
719;2026-04-13T11:35:15.366Z;Santiago;-27.3821407;-56.8445543;Partido Colorado;Núcleo 1;Buena;Mala;;Hugiyo ramirez ;Agua y luz ;Mujer,Mayor
720;2026-04-13T11:48:18.590Z;Santiago;-27.383328;-56.8457922;Partido Colorado;Núcleo 1;Muy Mala;Muy Mala;;;Todo ;Mujer,Joven
721;2026-04-13T11:53:23.659Z;Santiago;;;Partido Colorado;Núcleo 1;Muy Mala;Buena;;;Salud;
722;2026-04-13T11:57:07.924Z;Santiago;;;Partido Colorado;Núcleo 1;Buena;Mala;;;Trabajos, limpieza ;
723;2026-04-13T12:02:52.060Z;Santiago;-27.3835497;-56.8443725;Partido Colorado;Núcleo 1;Buena;Buena;Jose Mutti;William Aquino;Todo ;Mujer, Mayor
724;2026-04-13T12:13:53.574Z;Santiago;-27.3843334;-56.8446374;Partido Colorado;Núcleo 1;Buena;Buena;Jose Mutti;;Recolección de basura ;Mujer, Mayor
725;2026-04-13T12:23:31.396Z;Mabel;-27.3825382;-56.8451715;Partido Colorado;;Mala;Buena;Jose Mutti;Diego Barreto;Todos;Varón, Joven
726;2026-04-13T12:32:04.867Z;Mabel;-27.3840308;-56.8486772;Partido Colorado;Núcleo 2;;;;;;Mujer, Joven
727;2026-04-13T12:32:25.831Z;Miguel;-27.3865164;-56.8471583;Partido Colorado;Núcleo 2;Mala;Mala;Jose Mutti;Amarilla;Todo;Mayor
728;2026-04-13T12:32:31.134Z;Santiago;-27.3851235;-56.8477513;Partido Colorado;Núcleo 2;Mala;Mala;Jose Mutti;Miguel savala ;Trabajos ;Adulto Mayor, Varón
729;2026-04-13T12:34:25.633Z;Mabel;-27.3842331;-56.8486884;Partido Colorado;Núcleo 2;Buena;;Christian Rolon;Ning;Aseo urbano educación vial;Mujer, Mayor
730;2026-04-13T12:35:44.527Z;Santiago;-27.3844965;-56.8472121;Partido Colorado;;Buena;Mala;Christian Rolon;;Todo ;Mujer, Adulto Mayor
731;2026-04-13T12:40:12.149Z;Santiago;-27.3841679;-56.8469644;;Núcleo 2;Muy Mala;Muy Mala;;;Todo ;Mujer, Mayor
732;2026-04-13T12:40:20.752Z;Mabel;-27.3844099;-56.8490733;Partido Colorado;Núcleo 2;Buena;Muy Mala;Jose Mutti;Sra de Caballero ;Pago de personal;Varón, Mayor
733;2026-04-13T12:42:04.446Z;Miguel;-27.3861189;-56.8478251;Partido Colorado;Núcleo 2;Excelente;Buena;Jose Mutti;;Recolección de basura ;Mujer
734;2026-04-13T12:43:20.114Z;Miguel;-27.3860857;-56.8478616;Partido Colorado;Núcleo 2;Excelente;Buena;Jose Mutti;;Recolección de basura ;Mujer
735;2026-04-13T12:43:20.130Z;Mabel;-27.3845707;-56.8494675;Partido Colorado;Núcleo 2;;Buena;Christian Rolon;Beby cardoso;;Varón, Joven
737;2026-04-13T12:46:44.644Z;Santiago;;;;;Muy Mala;Mala;Jose Mutti;;Todo;
738;2026-04-13T12:49:40.605Z;Mabel;-27.384351;-56.8495671;Partido Colorado;Núcleo 3;Mala;Mala;;N;Todo;
739;2026-04-13T12:51:43.340Z;Miguel;-27.3858146;-56.8471565;Partido Colorado;Núcleo 2;Buena;Muy Mala;Jose Mutti;Diosnel;Recolección de basura ;Mayor
