Timestamp;Datos Demográficos (Seleccione múltiples);¿A qué partido pertenece o tiene afinidad?;Ubicación de la Encuesta;Barrio o Compañía;Calificación: Gestión del Intendente Municipal;Calificación: Gestión del Presidente de la República;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;¿Qué servicio público debe mejorar la municipalidad?
2026-04-16T12:12:02.923Z;Joven,VarÃ³n;Partido Colorado;-27.3570332,-56.7782279;Las Mercedes;Buena;Mala;;;Ips
2026-04-16T12:15:01.644Z;VarÃ³n,Adulto Mayor;Partido Colorado;-27.3564651,-56.7790682;Las Mercedes;Buena;Buena;Christian Rolon;Daniel;Todo 
2026-04-16T12:17:02.640Z;VarÃ³n,Joven;Partido Colorado;-27.3563176,-56.7789179;Las Mercedes;Buena;Buena;;;Trabajo
2026-04-16T12:19:53.623Z;Mujer,Mayor;Partido Colorado;-27.3561608,-56.7791469;Las Mercedes;Excelente;Buena;Christian Rolon;Daniel ;
2026-04-16T12:21:50.159Z;Mujer,Mayor;Partido Colorado;-27.356116,-56.7790977;Las Mercedes;Buena;Mala;Christian Rolon;Daniel;Agua potable 
2026-04-16T12:25:05.262Z;VarÃ³n,Mayor;Partido Colorado;-27.3556675,-56.7790265;Las Mercedes;Buena;Mala;Jose Mutti;Daniel ;IluminaciÃ³n 
2026-04-16T12:29:46.676Z;Mujer,Mayor;;-27.3549657,-56.7790413;;Muy Mala;Muy Mala;Jose Mutti;Wlifrido;
2026-04-16T12:33:07.411Z;VarÃ³n,Mayor;Partido Colorado;-27.3547947,-56.7790203;Las Mercedes;Buena;Mala;Jose Mutti;Daniel ;Ruta
2026-04-16T12:40:26.392Z;VarÃ³n,Mayor;Partido Colorado;-27.3581475,-56.7807337;;Buena;Buena;Christian Rolon;Profe Luis Vera Cuellar;Cloaca en la enrtada de San Antonio  y  
2026-04-16T12:40:26.824Z;VarÃ³n,Mayor;Partido Colorado;-27.3582849,-56.780219;Las Mercedes;Excelente;Excelente;Jose Mutti;Ninguno;Agua potable 
2026-04-16T12:40:27.167Z;VarÃ³n,Mayor;Partido Colorado;-27.3578084,-56.780109;Las Mercedes;Excelente;Excelente;Jose Mutti;NingÃºno;Limpieza y mejorar servicio de agua
2026-04-16T12:40:27.912Z;Mujer,Mayor;Partido Colorado;-27.3578103,-56.7801193;Las Mercedes;Muy Mala;Excelente;;Ninguno;Agua limpieza
2026-04-16T12:40:28.240Z;;;0,0;;Mala;Mala;;William Aquino ;Agua 
2026-04-16T12:41:41.407Z;VarÃ³n,Joven;Partido Colorado;-27.3548784,-56.7774869;Las Mercedes;Buena;Mala;;;Todo 
2026-04-16T12:44:21.460Z;VarÃ³n,Joven;Partido Colorado;-27.3552714,-56.7773288;Las Mercedes;Buena;Mala;Jose Mutti;;
2026-04-16T12:49:17.625Z;Mujer,Joven;Partido Colorado;-27.3575158,-56.7785708;Las Mercedes;Buena;Buena;Christian Rolon;William Aquino ;AtenciÃ³n a la gente  agua
2026-04-16T12:49:46.290Z;VarÃ³n,Joven;Partido Colorado;-27.3570544,-56.7780402;Las Mercedes;Buena;Muy Mala;Jose Mutti;William Aquino ;Limpieza camino
2026-04-16T12:59:29.098Z;VarÃ³n,Mayor;Partido Colorado;-27.3722545,-56.8004876;Las Mercedes;Buena;Buena;Christian Rolon;;RecolecciÃ³n de basura 
2026-04-16T13:05:04.564Z;Mujer,Joven;Partido Colorado;-27.3717842,-56.7989477;Maria Graciela;Buena;Buena;Christian Rolon;Dani Maciel;Trabajo
2026-04-16T13:05:04.678Z;VarÃ³n,Joven;Partido Colorado;-27.3721266,-56.7996422;Maria Graciela;Mala;Buena;Jose Mutti;Ninguno;Agua recolecciÃ³n de basura 
2026-04-16T13:12:07.728Z;VarÃ³n,Joven;Partido Colorado;-27.37239,-56.8008394;MarÃ­a Graciela;Buena;Mala;Jose Mutti;Carlos ;
2026-04-16T13:15:34.318Z;Mujer,Joven;Partido Colorado;-27.3721298,-56.8013671;MarÃ­a Graciela;Muy Mala;Mala;Jose Mutti;Fatima ;RecolecciÃ³n
2026-04-16T13:20:44.905Z;Mujer,Joven;Partido Colorado;-27.3729711,-56.8012633;MarÃ­a Graciela;Muy Mala;Buena;Jose Mutti;;Todo
2026-04-16T13:23:05.281Z;Joven;Partido Colorado;-27.371777,-56.8004992;Maria Graciela;Buena;Buena;Christian Rolon;Rodrigo Benitez;Empedrado 
2026-04-16T13:23:05.366Z;VarÃ³n,Joven;Partido Colorado;-27.3718703,-56.8003019;;Mala;Buena;Jose Mutti;Rodrigo Benitez;Limpieza iluminaciÃ³n 
2026-04-16T13:24:26.209Z;Mujer,Joven;Partido Colorado;-27.3728172,-56.8020769;MarÃ­a Graciela;Buena;Buena;Christian Rolon;;Todo 
2026-04-16T13:34:06.198Z;VarÃ³n,Joven;Partido Colorado;-27.3739931,-56.8027678;MarÃ­a Graciela;Mala;Mala;Jose Mutti;;Agua potable 
2026-04-16T13:37:20.423Z;Mujer,Joven;Partido Colorado;-27.3739944,-56.8029038;MarÃ­a Graciela;Buena;Mala;Christian Rolon;;Agua potable 
2026-04-16T13:39:55.405Z;Mujer,Joven;Partido Colorado;-27.3739985,-56.8029368;MarÃ­a Graciela;Buena;Buena;Christian Rolon;Sofia troche ;Cloacas
2026-04-16T13:50:49.882Z;VarÃ³n,Mayor;Partido Colorado;-27.3738614,-56.8002906;MarÃ­a Graciela;Muy Mala;Muy Mala;Jose Mutti;Mario caÃ±ete ;Todo 
2026-04-16T13:53:32.183Z;Mujer,Mayor;Partido Colorado;-27.3724342,-56.8004371;Maria Graciela;;Buena;Jose Mutti;NingÃºno;Agua
2026-04-16T13:53:32.284Z;Mujer,Mayor;Partido Colorado;-27.3728605,-56.8000844;Maria Graciela;Mala;Buena;Christian Rolon;Ninguna ;Todas
2026-04-16T13:53:32.418Z;Mujer,Joven;Partido Colorado;-27.373111,-56.7997014;Maria Graciela;Mala;Mala;Jose Mutti;RAMON PALACIOS ;Escuelas
2026-04-16T13:53:32.516Z;Mujer,Joven;Partido Colorado;-27.3738238,-56.7997365;Maria Graciela;Mala;Mala;Jose Mutti;Ninguno;Agua
