ID;Timestamp;Encuestador;Datos Demográficos (Seleccione múltiples);¿A qué partido pertenece o tiene afinidad?;Ubicación de la Encuesta;Barrio o Compañía;Calificación: Gestión del Intendente Municipal;Calificación: Gestión del Presidente de la República;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;¿Qué servicio público debe mejorar la municipalidad?
71;2026-04-13T15:39:02.717Z;Santiago;Mujer,Mayor;Partido Colorado;-27.3817207,-56.8406427;Núcleo 5;Buena;Buena;Christian Rolon;Miguel marin;Recolección y limpieza 
70;2026-04-13T15:34:10.614Z;Santiago;Mujer,Mayor;Partido Colorado;-27.3817968,-56.8401427;Núcleo 5;Muy Mala;Muy Mala;Jose Mutti;;Todo 
69;2026-04-13T15:28:41.722Z;Santiago;Mujer,Mayor;Partido Colorado;-27.381852,-56.8389643;Núcleo 5;Excelente;Buena;Christian Rolon;Daniel maciel ;Electricidad 
73;2026-04-13T15:44:04.357Z;Santiago;Mujer,Mayor;Partido Colorado;-27.3821033,-56.8422124;Núcleo 5;Mala;Muy Mala;Christian Rolon;Arnaldo cardozo ;Sueldos agua recolección 
34;2026-04-13T11:35:15.366Z;Santiago;Mujer,Mayor;Partido Colorado;-27.3821407,-56.8445543;Núcleo 1;Buena;Mala;;Hugiyo ramirez ;Agua y luz 
63;2026-04-13T14:52:47.343Z;Santiago;;Partido Colorado;-27.3825808,-56.841653;Núcleo 5;Mala;Muy Mala;Jose Mutti;Carlos ramirez;Trabajos 
67;2026-04-13T15:17:53.334Z;Santiago;Mujer,Mayor;Partido Colorado;-27.3826179,-56.8386338;Núcleo 5;Muy Mala;Muy Mala;;;Todo 
66;2026-04-13T15:15:14.979Z;Santiago;Varón,Mayor;Partido Colorado;-27.3826815,-56.8391745;Núcleo 5;Buena;Buena;Christian Rolon;William aquino;Salud 
62;2026-04-13T14:47:06.068Z;Santiago;Mujer,Mayor;Partido Colorado;-27.3827022,-56.8422322;Núcleo 5;Mala;Mala;Jose Mutti;;Trabajos 
68;2026-04-13T15:19:57.596Z;Santiago;Mujer,Mayor;Partido Colorado;-27.3827637,-56.8384041;;Mala;Muy Mala;Jose Mutti;;Todo 
64;2026-04-13T15:00:39.645Z;Santiago;Adulto Mayor,Mujer;Partido Colorado;-27.3827682,-56.8409035;Núcleo 5;Buena;Mala;;;Limpieza y recolección 
65;2026-04-13T15:07:34.998Z;Santiago;Mayor,Mujer;Partido Colorado;-27.3827994,-56.8399851;Núcleo 5;Muy Mala;Muy Mala;Jose Mutti;Arnaldo cardozo ;Recolección 
35;2026-04-13T11:48:18.590Z;Santiago;Mujer,Joven;Partido Colorado;-27.383328,-56.8457922;Núcleo 1;Muy Mala;Muy Mala;;;Todo 
33;2026-04-13T12:02:52.060Z;Santiago;Mujer,Mayor;Partido Colorado;-27.3835497,-56.8443725;Núcleo 1;Buena;Buena;Jose Mutti;William Aquino;Todo 
45;2026-04-13T13:05:51.526Z;Santiago;Mujer,Joven;Partido Colorado;-27.3838107,-56.8479798;Núcleo 2;Mala;Buena;;;Recolección de basura, cuidado a las infraestructuras
44;2026-04-13T13:01:03.409Z;Santiago;;;-27.3841358,-56.8484997;Núcleo 2;Mala;Mala;Jose Mutti;Ramirez ;Salud, hambre 
41;2026-04-13T12:40:12.149Z;Santiago;Mujer,Mayor;;-27.3841679,-56.8469644;Núcleo 2;Muy Mala;Muy Mala;;;Todo 
38;2026-04-13T12:13:53.574Z;Santiago;Mujer,Mayor;Partido Colorado;-27.3843334,-56.8446374;Núcleo 1;Buena;Buena;Jose Mutti;;Recolección de basura 
